angle_error,pixel_error,head_yaw,head_pitch,head_roll,norm_target_x,norm_target_y,pred_nx,pred_ny,session_id,user_id,split
0.9337703545948414,263.4117574281463,-23.9863421813774,-170.64698725729727,0.2936673885038419,0.3397773872290568,0.3392689784442362,0.4699641540646553,0.5377196446061134,S20251223_195223_DEVZjesur_CAM0_Gno_glass,13,train
0.08846932694105811,265.10059085844,-22.33831655567697,-170.4212502888544,0.1439360427230995,0.3397773872290568,0.3392689784442362,0.46787601336836815,0.5448970757424831,S20251223_195223_DEVZjesur_CAM0_Gno_glass,13,train
0.8950370626509626,256.11904917425767,-23.39203347009342,-170.8817238231903,0.2815504632634952,0.3397773872290568,0.3392689784442362,0.462668526917696,0.5396252982318401,S20251223_195223_DEVZjesur_CAM0_Gno_glass,13,train
0.9151434704912961,273.61101554711286,-23.436996980539245,-170.59480956428214,0.2766471836084542,0.3397773872290568,0.3392689784442362,0.47129019163548946,0.5528647638857365,S20251223_195223_DEVZjesur_CAM0_Gno_glass,13,train
0.519264675593575,264.26484949303193,-23.277390593549203,-170.6220789655573,0.2642578708980536,0.3397773872290568,0.3392689784442362,0.4648772329092026,0.5492451265454292,S20251223_195223_DEVZjesur_CAM0_Gno_glass,13,train
0.6824231169165307,269.98572089302456,-24.06445015916553,-170.7709573272908,0.2496693866875166,0.3397773872290568,0.3392689784442362,0.46875319816172123,0.5515703335404396,S20251223_195223_DEVZjesur_CAM0_Gno_glass,13,train
0.43566191667554527,267.262035452322,-24.029433217718225,-170.75009774058083,0.3234532378071745,0.3397773872290568,0.3392689784442362,0.46748870238661766,0.5493582002818584,S20251223_195223_DEVZjesur_CAM0_Gno_glass,13,train
0.5070628397564944,259.7229680696136,-24.40905363663357,-171.11690627011566,0.3583432622259218,0.3397773872290568,0.3392689784442362,0.4639795757830143,0.5432522632181644,S20251223_195223_DEVZjesur_CAM0_Gno_glass,13,train
0.3488659211959672,261.5231755654518,-24.47993719625935,-171.10247798519603,0.4183266934640443,0.3397773872290568,0.3392689784442362,0.4653000347316265,0.5437781736254692,S20251223_195223_DEVZjesur_CAM0_Gno_glass,13,train
1.3622872341013277,425.2835506824893,-24.60541306988316,-170.99939122334197,0.4444688179963129,0.1792618629173989,0.3392689784442362,0.42802372574806213,0.5553884245455265,S20251223_195223_DEVZjesur_CAM0_Gno_glass,13,train
1.365300496425449,417.6845511281078,-24.70826430016379,-171.25537758923966,0.5390057111920525,0.1792618629173989,0.3392689784442362,0.4238710477948189,0.5504604242742062,S20251223_195223_DEVZjesur_CAM0_Gno_glass,13,train
0.30196467842978897,428.16420972589697,-25.71228852619724,-171.49489972485222,0.5215090161221017,0.1792618629173989,0.3392689784442362,0.4325430914759636,0.546223308891058,S20251223_195223_DEVZjesur_CAM0_Gno_glass,13,train
1.1489288351609341,421.7643021722979,-25.680441162021136,-172.0187890826168,0.5690716610198816,0.1792618629173989,0.3392689784442362,0.42664599418640137,0.5511054806411266,S20251223_195223_DEVZjesur_CAM0_Gno_glass,13,train
0.15195108845669586,433.3364337893857,-25.79105143557068,-171.9439276615041,0.5356087752501758,0.1792618629173989,0.3392689784442362,0.43647753447294235,0.5453059412539005,S20251223_195223_DEVZjesur_CAM0_Gno_glass,13,train
0.2907401591260049,435.09778618686136,-24.49584855766842,-171.53026154862988,0.3466128912686455,0.1792618629173989,0.3392689784442362,0.43726541846990585,0.5471567995846272,S20251223_195223_DEVZjesur_CAM0_Gno_glass,13,train
0.38000705656429684,436.53859655757907,-24.80454764578288,-171.84711138425692,0.4677596859966509,0.1792618629173989,0.3392689784442362,0.43855778127908707,0.5461186282336712,S20251223_195223_DEVZjesur_CAM0_Gno_glass,13,train
0.14265252599748507,430.11998834515515,-25.544263794833505,-171.71133298171574,0.6213490369815826,0.1792618629173989,0.3392689784442362,0.43428001552820206,0.5449104718863964,S20251223_195223_DEVZjesur_CAM0_Gno_glass,13,train
0.6974545759372708,427.302739689383,-25.441170682067145,-171.38310628391193,0.414982801943623,0.1792618629173989,0.3392689784442362,0.43085291236639023,0.5503135174512863,S20251223_195223_DEVZjesur_CAM0_Gno_glass,13,train
0.4102162287076641,426.25849660878197,-25.75844906512315,-171.6259897317057,0.4466323878337845,0.1792618629173989,0.3392689784442362,0.4312025308609009,0.5461249649524689,S20251223_195223_DEVZjesur_CAM0_Gno_glass,13,train
0.994259626449732,419.1550863637733,-25.370066919271625,-171.5415727320089,0.4852068392295909,0.1792618629173989,0.3392689784442362,0.4261242374777794,0.5460308417677879,S20251223_195223_DEVZjesur_CAM0_Gno_glass,13,train
