epoch,train_loss,val_loss,val_pixel_error_px
1,0.052221,0.024684,448.6158
2,0.042059,0.025068,449.9645
3,0.037105,0.024392,439.3086
4,0.033526,0.023573,437.8714
5,0.030834,0.024577,437.5963
6,0.027227,0.022852,433.5242
7,0.023377,0.020672,402.5142
8,0.021552,0.019465,389.1169
9,0.019242,0.019293,389.3093
10,0.018290,0.019942,396.5002
