angle_error,pixel_error,pred_px,pred_py,true_px,true_py,head_yaw,head_pitch,session_id,user_id
1.9571476507597123,624.5203800902373,758.1429278736587,0.0,1013.2021089630932,570.0618556701031,1.1870615685924026,162.30561591313878,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
2.4226894732982616,620.5484131778646,768.0290806595615,0.0,1013.2021089630932,570.0618556701031,-0.6136472220714495,157.3761933434347,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
2.3795680857651176,640.3334931348661,721.5576968097689,0.0,1013.2021089630932,570.0618556701031,5.463654319151788,-110.05690663207344,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
7.082551550732054,900.6814443049662,703.6835373511188,0.0,1259.7539543057997,708.5285848172447,9.843380349202008,-108.46457030185576,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
7.432629966376327,879.9926049840625,737.8591092234701,0.0,1259.7539543057997,708.5285848172447,5.675621729541606,-109.10108543279,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
4.14307157268212,908.9685104459154,690.3586632476994,0.0,1259.7539543057997,708.5285848172447,6.703984870177695,-108.11228669672492,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
2.442963745003012,914.9813180526329,680.8083118813956,0.0,1259.7539543057997,708.5285848172447,7.508451658892971,-107.39574655439031,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
2.2250156412614492,917.7028298904833,676.516671130355,0.0,1259.7539543057997,708.5285848172447,8.273353565256587,-107.58935251545942,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
5.337517246926985,893.6016075336272,715.2256469759096,0.0,1259.7539543057997,708.5285848172447,6.634600377893635,-108.58711599534234,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
4.667533414043373,892.6062472710489,716.8606340630678,0.0,1259.7539543057997,708.5285848172447,5.590798322739216,-107.68096373771262,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
3.791785426336746,570.5118641901779,744.8946714855316,0.0,767.5500878734622,570.0618556701031,5.945930076055091,-109.3429801401219,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
3.383966161189774,571.390055102501,728.6132700785053,0.0,767.5500878734622,570.0618556701031,6.728474561995052,-108.13482003622823,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
2.9051511095481217,571.2709879311344,730.4014356533231,0.0,767.5500878734622,570.0618556701031,4.97706348473647,-107.19681977519778,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
3.227799187888191,571.768843798523,723.4015720585637,0.0,767.5500878734622,570.0618556701031,5.072737065014276,-106.93418830803888,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
3.137249949052524,571.077910560147,733.49923414405,0.0,767.5500878734622,570.0618556701031,4.514541325668656,-106.32074395892968,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
3.2492595556349206,570.8501593321233,737.5603376332696,0.0,767.5500878734622,570.0618556701031,4.346348269503681,-106.6400926486222,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
3.9989005131929463,570.7974764101074,738.5804522853917,0.0,767.5500878734622,570.0618556701031,5.6300342923685465,-105.83978442852772,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
3.3409955789022208,571.831726201094,722.5945120226123,0.0,767.5500878734622,570.0618556701031,5.733873826673245,-105.61655533849894,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
3.991744380164378,619.6186750192578,764.7082460238689,0.0,521.8980667838313,570.0618556701031,4.62021818693706,-105.59188063535537,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
