angle_error,pixel_error,pred_px,pred_py,true_px,true_py,head_yaw,head_pitch,session_id,user_id
1.9571476507597123,281.3985611743973,768.0,432.0,1013.2021089630932,570.0618556701031,1.1870615685924026,162.30561591313878,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
2.4226894732982616,281.3985611743973,768.0,432.0,1013.2021089630932,570.0618556701031,-0.6136472220714495,157.3761933434347,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
2.3795680857651176,281.3985611743973,768.0,432.0,1013.2021089630932,570.0618556701031,5.463654319151788,-110.05690663207344,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
7.082551550732054,564.1719682830924,768.0,432.0,1259.7539543057997,708.5285848172447,9.843380349202008,-108.46457030185576,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
7.432629966376327,564.1719682830924,768.0,432.0,1259.7539543057997,708.5285848172447,5.675621729541606,-109.10108543279,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
4.14307157268212,564.1719682830924,768.0,432.0,1259.7539543057997,708.5285848172447,6.703984870177695,-108.11228669672492,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
2.442963745003012,564.1719682830924,768.0,432.0,1259.7539543057997,708.5285848172447,7.508451658892971,-107.39574655439031,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
2.2250156412614492,564.1719682830924,768.0,432.0,1259.7539543057997,708.5285848172447,8.273353565256587,-107.58935251545942,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
5.337517246926985,564.1719682830924,768.0,432.0,1259.7539543057997,708.5285848172447,6.634600377893635,-108.58711599534234,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
4.667533414043373,564.1719682830924,768.0,432.0,1259.7539543057997,708.5285848172447,5.590798322739216,-107.68096373771262,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
3.791785426336746,138.0625887487048,768.0,432.0,767.5500878734622,570.0618556701031,5.945930076055091,-109.3429801401219,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
3.383966161189774,138.0625887487048,768.0,432.0,767.5500878734622,570.0618556701031,6.728474561995052,-108.13482003622823,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
2.9051511095481217,138.0625887487048,768.0,432.0,767.5500878734622,570.0618556701031,4.97706348473647,-107.19681977519778,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
3.227799187888191,138.0625887487048,768.0,432.0,767.5500878734622,570.0618556701031,5.072737065014276,-106.93418830803888,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
3.137249949052524,138.0625887487048,768.0,432.0,767.5500878734622,570.0618556701031,4.514541325668656,-106.32074395892968,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
3.2492595556349206,138.0625887487048,768.0,432.0,767.5500878734622,570.0618556701031,4.346348269503681,-106.6400926486222,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
3.9989005131929463,138.0625887487048,768.0,432.0,767.5500878734622,570.0618556701031,5.6300342923685465,-105.83978442852772,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
3.3409955789022208,138.0625887487048,768.0,432.0,767.5500878734622,570.0618556701031,5.733873826673245,-105.61655533849894,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
3.991744380164378,282.18298588647747,768.0,432.0,521.8980667838313,570.0618556701031,4.62021818693706,-105.59188063535537,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
3.3102062080138692,282.18298588647747,768.0,432.0,521.8980667838313,570.0618556701031,5.245479322925494,-109.10267919937426,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
3.945459622515647,282.18298588647747,768.0,432.0,521.8980667838313,570.0618556701031,6.225666240166424,-110.22777512357696,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
2.7084105591957965,282.18298588647747,768.0,432.0,521.8980667838313,570.0618556701031,6.122883847888476,-108.84708550062952,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
3.1506998169747216,282.18298588647747,768.0,432.0,521.8980667838313,570.0618556701031,4.545782142222125,-108.28383805127626,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
2.4577412436868586,282.18298588647747,768.0,432.0,521.8980667838313,570.0618556701031,3.993024467290248,-107.8414007743752,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
2.559943881417856,282.18298588647747,768.0,432.0,521.8980667838313,570.0618556701031,4.249164198632196,-107.72105012272394,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
3.220816607391314,511.85258380098605,768.0,432.0,275.3462214411247,293.1283973758201,4.676723981542216,-107.42097353930602,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
4.259931216261675,511.85258380098605,768.0,432.0,275.3462214411247,293.1283973758201,5.236986404618008,-109.08792452194166,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
3.3621418365448013,511.85258380098605,768.0,432.0,275.3462214411247,293.1283973758201,5.617803143847009,-109.77986059556493,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
2.9291745595235676,511.85258380098605,768.0,432.0,275.3462214411247,293.1283973758201,3.780599328800688,-110.56386236391116,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
2.7448796062047234,511.85258380098605,768.0,432.0,275.3462214411247,293.1283973758201,5.826493180475343,-111.20687065230382,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
0.9082753606044326,511.85258380098605,768.0,432.0,275.3462214411247,293.1283973758201,5.510122299563907,-111.73831942349058,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
3.266985690285466,511.85258380098605,768.0,432.0,275.3462214411247,293.1283973758201,5.721552836693259,-113.0875838514616,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
4.568017881273322,511.85258380098605,768.0,432.0,275.3462214411247,293.1283973758201,5.269418309097094,-112.10202341110316,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
4.5379457786007045,565.3532486844282,768.0,432.0,275.3462214411247,154.66166822867854,12.593087778591997,-108.72416872740354,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
2.076317178067992,565.3532486844282,768.0,432.0,275.3462214411247,154.66166822867854,5.770202909702168,-113.0252919312628,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
1.9383580835767924,565.3532486844282,768.0,432.0,275.3462214411247,154.66166822867854,7.864894914995528,-113.02411689388468,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
1.3905793259355423,565.3532486844282,768.0,432.0,275.3462214411247,154.66166822867854,6.079327743549149,-112.55388139914582,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
1.4808125308981968,565.3532486844282,768.0,432.0,275.3462214411247,154.66166822867854,5.790982089158248,-112.65354506329862,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
3.3684831060671323,565.3532486844282,768.0,432.0,275.3462214411247,154.66166822867854,6.096858936331904,-112.20620612163766,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
2.5336594019444534,565.3532486844282,768.0,432.0,275.3462214411247,154.66166822867854,5.936632574564705,-113.52660534622332,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
1.8276703150950158,565.3532486844282,768.0,432.0,275.3462214411247,154.66166822867854,6.562906666455112,-113.64827121006512,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
3.5543505919654192,564.5693065028332,768.0,432.0,1259.7539543057997,154.66166822867854,-3.6836693284615647,158.31125320302428,S20260109_211438_DEVLAPTOP-KM5G621T_CAM0_Gglass,27
