split,rows,missing_required_columns,target_duplicate_ratio,out_of_bounds_target_ratio,gaze_norm_mean,gaze_norm_std,gaze_norm_min,gaze_norm_max,gaze_x_mean,gaze_x_std,gaze_x_min,gaze_x_max,gaze_y_mean,gaze_y_std,gaze_y_min,gaze_y_max,gaze_z_mean,gaze_z_std,gaze_z_min,gaze_z_max,norm_target_x_mean,norm_target_x_std,norm_target_x_min,norm_target_x_max,norm_target_y_mean,norm_target_y_std,norm_target_y_min,norm_target_y_max,head_yaw_mean,head_yaw_min,head_yaw_max,head_pitch_mean,head_pitch_min,head_pitch_max,head_roll_mean,head_roll_min,head_roll_max,head_yaw_abs_gt_90_ratio,head_pitch_abs_gt_90_ratio,head_roll_abs_gt_90_ratio,head_local_negative_z_ratio,camera_origin_fixed_plane_projection_error_mean,camera_origin_fixed_plane_projection_error_p95,camera_origin_fixed_plane_projection_invalid_ratio,runtime_origin_projection_error_mean,runtime_origin_projection_error_p95,runtime_origin_projection_invalid_ratio
test,1390,,0.9489208633093525,0.0,1.0,1.0194516556420667e-16,0.9999999999999997,1.0000000000000002,0.0026533030892531445,0.09809257229994445,-0.1917417965955301,0.1907302779261543,0.13720761906010043,0.07526603670276308,0.0237435143115027,0.3102431446220212,0.9826795603706017,0.014858730196565488,0.9326798060360244,0.9997144170307086,0.5036632653455443,0.2240865694616527,0.1792618629173989,0.8203125,0.5006889102276442,0.22670577599505062,0.1790065604498594,0.8200562324273665,0.43287254935745906,-27.75709238384368,31.2647365876252,-61.423453122007444,-176.8551666,178.36329241565846,18.132728544375553,-175.39162898002934,178.96987786233538,0.0,1.0,0.09496402877697842,1.0,215.58858745302967,464.0156956501292,0.0,501.0537732797355,747.8388962348388,0.0
train,5018,,0.9852530888800319,0.0,1.0,1.0546251172767337e-16,0.9999999999999997,1.0000000000000002,0.0011589314654683568,0.09491105333560955,-0.232255979765894,0.237452433719881,0.1315729180894757,0.06871716202316135,0.0329337746364055,0.3717705927543291,0.9842532129804571,0.01423658804394861,0.9068334551405794,0.9994575361105636,0.502131582946822,0.22601368169823893,0.1792618629173989,0.8203125,0.5001898407670669,0.2253973359777306,0.1790065604498594,0.8200562324273665,-7.033636921638712,-32.254415824552154,36.76669184031055,-122.1739976588459,-179.9989743992768,179.99953136691977,7.759647610225273,-179.95291894558272,179.9861998,0.0,0.9998007174172977,0.045237146273415706,0.9998007174172977,235.50693456621826,440.4129844931168,0.0,505.1554487622877,775.6726803379772,0.0
val,987,,0.9746707193515705,0.0,1.0,1.153799259298865e-16,0.9999999999999997,1.0000000000000002,0.0007364882773350059,0.08998290373033482,-0.1839926237417863,0.1833794334282641,0.12749458177568515,0.0650108456654179,0.0380399030326836,0.2947122495458413,0.9855257822340299,0.012656568926394602,0.940228946089991,0.9992387671472605,0.5026398739164697,0.22500791860293304,0.1798611111111111,0.8194444444444444,0.5077811550151976,0.22406631836312602,0.18,0.82,0.46770777095809635,-23.52743321738185,29.85331920114982,-151.94146548941987,-179.99933513175574,179.95799400354355,-0.6234282826970644,-6.795691769528586,3.558692855490557,0.0,1.0,0.0,1.0,247.8864960177487,446.8359406912808,0.0,511.44029643372625,792.0807527690326,0.0
