epoch,train_loss,val_loss,val_pixel_error_px
1,0.032376,0.025365,454.9892
2,0.029013,0.025322,454.7738
3,0.028709,0.025282,454.3508
4,0.029145,0.025246,454.0908
5,0.028862,0.025256,453.9525
6,0.028448,0.025283,454.2725
7,0.028680,0.025221,453.8921
8,0.027870,0.025177,453.4525
9,0.026988,0.025129,452.9322
10,0.027000,0.025101,452.5336
