label,point_index,raw_x,raw_y,target_x,target_y,pred_x,pred_y,residual_px
runtime_deep,0,966.0636593931764,347.79147034609446,144.0,90.0,318.95837946696827,233.50238557816766,226.28161483499443
runtime_deep,1,1017.6940167515395,355.4027524045122,432.0,90.0,537.0959582438029,301.5153858185202,236.1861953568426
runtime_deep,2,1001.48502391693,324.11936106640485,720.0,90.0,488.1847332029759,188.75165427286373,251.97263173170745
runtime_deep,3,1079.2161329799592,272.9830641433251,1008.0,90.0,1028.4742698711934,174.02656648102777,86.48502530119904
runtime_deep,4,1121.025031688892,266.2195756026512,1296.0,90.0,1375.4999019283064,274.8548368597243,201.2251105529467
runtime_deep,5,944.0146018034897,354.67544828015,144.0,270.0,242.01250527483376,248.1625164625821,100.415770063752
runtime_deep,6,1021.9703044880193,315.40560481447034,432.0,270.0,602.6290488994399,188.87616938524084,188.93212596575415
runtime_deep,7,1023.2404124581608,336.1449314724529,720.0,270.0,586.4867018531078,253.2884553224395,134.55510583984181
runtime_deep,8,1068.9199266136961,302.6869476017408,1008.0,270.0,909.2604884523427,239.11340072826368,103.45759109530233
runtime_deep,9,1098.4465069554078,268.67050334886267,1296.0,270.0,1183.5042808048343,213.17619037971232,126.0326631353963
runtime_deep,10,817.2722677644878,368.95802658112854,144.0,450.0,99.67730470605079,405.1407333390505,63.06231143463142
runtime_deep,11,997.8107222603672,341.23095436165283,432.0,450.0,454.9159279664312,237.44289022481303,213.78883195935083
runtime_deep,12,1047.38388027753,370.25349927582664,720.0,450.0,681.3142175705839,384.4942692627063,76.0762152160775
runtime_deep,13,1088.0282771451716,324.57888679983984,1008.0,450.0,1011.0609596017031,346.31931287317417,103.72586156197501
runtime_deep,14,1114.1722679737975,290.0571410647068,1296.0,450.0,1273.0998428192345,322.31419780347267,129.72309463420333
runtime_deep,15,883.3344649233991,491.22032549173235,144.0,630.0,119.25239510881494,679.0607023026778,54.94903509873654
runtime_deep,16,1005.7227165544502,514.2120147480111,432.0,630.0,346.21865474146284,660.6580894648488,91.0953217459548
runtime_deep,17,1075.9804597680138,477.9552595505711,720.0,630.0,712.1434346991527,661.8925071500056,32.84596825547445
runtime_deep,18,1112.746208267145,428.8217604071964,1008.0,630.0,1023.1258417386186,644.7836050599881,21.15055712910284
runtime_deep,19,1143.4298176740303,357.46999388761316,1296.0,630.0,1392.9949772234277,582.3860209520908,108.05145351797906
runtime_deep,20,992.9027215679009,604.2690697837972,144.0,810.0,251.94998361860598,798.0916509382654,108.60482374477395
runtime_deep,21,1025.9202948517718,552.962608841884,432.0,810.0,391.36138053219713,731.0072500292272,88.83328171464744
runtime_deep,22,1082.0057772125144,560.2780111190611,720.0,810.0,643.2686244240502,787.2186288540363,80.04183199469891
runtime_deep,23,1142.0777831094301,524.0375651026451,1008.0,810.0,1079.0295685078295,854.1371855988579,83.62589763342733
runtime_deep,24,1155.0319359307177,484.62452253466523,1296.0,810.0,1248.4806187440413,839.7853948582473,56.082629590728565
