label,point_index,raw_x,raw_y,target_x,target_y,pred_x,pred_y,residual_px
runtime_classic,0,0.5054960618291634,0.5135222167614552,144.0,90.0,240.67569809556858,85.36781304737735,96.78660939525452
runtime_classic,1,0.5031533360576467,0.5177448835980243,432.0,90.0,219.60059345227273,97.6996738086633,212.53892085589064
runtime_classic,2,0.49812796534015763,0.5209591771579585,720.0,90.0,816.2781154313739,67.45057930546125,98.8835268620423
runtime_classic,3,0.49521558700504786,0.5234376139445551,1008.0,90.0,1060.532181033787,77.65762820305582,53.962618410716345
runtime_classic,4,0.49293060471534667,0.5263210119680674,1296.0,90.0,1181.6212304019502,121.62994359052271,118.67163210432138
runtime_classic,5,0.49817473309348737,0.5287391172894238,144.0,270.0,238.48351834815628,280.65473741526944,95.08237832971326
runtime_classic,6,0.4965978690154957,0.5301531037354889,432.0,270.0,436.28191477764835,301.8381481986825,32.12479532828675
runtime_classic,7,0.49483239975965526,0.5305411469355099,720.0,270.0,702.7314056563965,287.04428525266235,24.263388270768303
runtime_classic,8,0.4927059941299165,0.5303666513064654,1008.0,270.0,1015.288120095099,248.75604787447446,22.45934541415236
runtime_classic,9,0.4902456871146065,0.5316260568669131,1296.0,270.0,1273.0246563776473,259.8005367503603,25.137531007358998
runtime_classic,10,0.4971328672720732,0.534285157818676,144.0,450.0,157.65414539282403,467.1678314697555,21.9355903449692
runtime_classic,11,0.4955416072655397,0.5355213453162821,432.0,450.0,399.4717354895936,492.46345667169794,53.490495834008996
runtime_classic,12,0.4936574750314328,0.5365506400672564,720.0,450.0,683.1212100587926,507.5936736158472,68.38915402383944
runtime_classic,13,0.49057696858523336,0.5371243698531801,1008.0,450.0,1114.3484513753156,488.8329025884642,113.2165510575773
runtime_classic,14,0.48931105261503205,0.5370539412663232,1296.0,450.0,1271.1823044700743,468.906705851815,31.19906308822668
runtime_classic,15,0.49671606010560204,0.5375656748505572,144.0,630.0,131.03555896777345,601.7528820326612,31.080160950980183
runtime_classic,16,0.4949289348128241,0.5365267374349441,432.0,630.0,476.46652751947266,526.2076570921524,112.91644041476084
runtime_classic,17,0.4938767789584717,0.538319994719605,720.0,630.0,614.4397301049185,591.0449122193697,112.51875152310866
runtime_classic,18,0.49081519346429786,0.5386981079089085,1008.0,630.0,1067.1673020543767,564.3463162175759,88.38085667494056
runtime_classic,19,0.48885147687408714,0.54001186792997,1296.0,630.0,1314.1135764922165,601.3970952774371,33.85598635259928
runtime_classic,20,0.4955438311397939,0.5422775007181337,144.0,810.0,276.55796962112265,812.7665774788184,132.58683668079868
runtime_classic,21,0.4944921178609332,0.54270837558824,432.0,810.0,468.27476999661116,818.6613067634364,37.29446571754836
runtime_classic,22,0.4939266410323242,0.5429309860479172,720.0,810.0,568.210818242376,821.6874264063332,152.2384696279244
runtime_classic,23,0.4915149152437931,0.5436323576085097,1008.0,810.0,967.2021666399035,823.7143257230579,43.04121207536253
runtime_classic,24,0.4892252403667644,0.5444172197933052,1296.0,810.0,1306.2362999047295,835.5575371450497,27.531246623793823
