label,path,exists,is_runtime_default,method,point_count,stored_mean_residual_px,computed_mean_residual_px,computed_median_residual_px,computed_max_residual_px,screen_resolution,screen_resolution_source,timestamp
runtime_classic,C:\Users\Imranjan Mamtimin\AppData\Roaming\Look2Act\calibration\calibration_classic.json,True,True,polynomial,25,73.58344107875777,73.58344107875774,53.962618410716345,212.53892085589064,1440x900,inferred_from_target_points,2026-05-08T11:45:58.586511
runtime_deep,C:\Users\Imranjan Mamtimin\AppData\Roaming\Look2Act\calibration\calibration_deep.json,True,True,polynomial,25,118.68803796437996,118.68803796437996,103.45759109530233,251.97263173170745,1440x900,inferred_from_target_points,2026-05-09T21:01:14.751118
bin_classic,D:\Projects\Look2Act_Tracker_Project\bin\calibration_classic.json,True,False,polynomial,25,93.26105566722656,93.26105566722656,87.61929455064991,203.9023542400968,1440x900,inferred_from_target_points,2026-05-06T12:54:59.922163
legacy_root,D:\Projects\Look2Act_Tracker_Project\calibration.json,True,False,polynomial,9,293.76969653917286,293.769696539173,248.07756568129648,611.8763135716556,1440x900,inferred_from_target_points,2026-03-29T20:53:45.018495
